,APOGEE_ID,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68u,age_68l,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr
2682,2M19525688+4136381,2073901894642192256,2.571042537689209,4923.2900390625,-0.025937492027878758,0.08614596724510193,-0.3032436370849609,0.5350264310836792,11.341343879699707,11.960165977478027,10.614606857299805,9.597000122070312,9.079000473022461,8.95300006866455,0.0416322685778141,80.41680908203125,0.011375096626579763,0.03179125487804413,0.034259751439094537,0.050155676901340485,0.00046104178245687244,0.001096975264265332,0.0005694756061036532,0.01899999938905239,0.01899999938905239,0.017000000923871994,1.1661,1.2446,0.8632,0.1907,0.06673579535092883,0.07945918248679873,1.3390133,1.3693084999999998,1.3191373000000002,0.0250856,0.1267848907445878,0.008105651702792052
1451,2M19280443+4720168,2129123423024621312,2.5895822048187256,4677.9892578125,0.01812582835555077,0.007476290687918662,-0.08356494456529617,0.3016950488090515,12.710986137390135,13.321881294250488,11.986116409301758,10.998000144958496,10.428000450134276,10.314000129699707,0.05353659391403198,69.50746154785156,0.012110447511076929,0.028862915933132168,0.02869184873998165,0.04306231439113617,0.00018357243726230263,0.0018108421834028832,0.0008532634205249412,0.020999999716877937,0.017000000923871994,0.016000000759959217,5.0634,6.0959,4.1899,0.9530000000000004,0.7044422372685071,0.08141708810031317,2.1684614,2.1988698,2.1404251,0.029222350000000005,0.3361516958340067,0.005849739713017998
2112,2M19415272+5111065,2135605662545820032,2.6677815914154053,5055.57763671875,-0.025091709569096562,0.05397462844848633,-0.21647809445858,0.515691876411438,10.23875617980957,10.731539726257324,9.625701904296877,8.78600025177002,8.385000228881836,8.293999671936035,0.044822122901678085,87.18026733398438,0.01166882272809744,0.0348537340760231,0.03950902447104454,0.05687521025538445,0.0003727368927697317,0.001070953114210571,0.0012958636932358658,0.029999999329447743,0.023000000044703484,0.016000000759959217,0.6636,0.7162,0.5845,0.06584999999999996,-0.17809362264767695,0.04412490058901258,0.8482145000000001,0.8560585999999999,0.8393438,0.008357399999999984,-0.07149430766484696,0.00428180390154511
2518,2M19490669+4101352,2076770039436573952,2.5896470546722408,4720.234375,-0.0031314175575971603,0.08150599151849748,-0.1169710010290146,0.3879190087318421,10.429910659790039,11.057143211364746,9.705849647521973,8.675000190734862,8.144000053405763,8.022000312805176,0.05243267863988876,71.15123748779297,0.011419671587646008,0.028416093438863758,0.028479985892772675,0.042679421603679664,0.0004996195463213837,0.0007570295241754454,0.0006550834624619029,0.019999999552965164,0.016000000759959217,0.028999999165534977,2.2028,2.8128,1.4962,0.6583000000000001,0.3429750678092449,0.13707460149317174,0.8644152,0.8853066999999999,0.8443061000000001,0.02050029999999998,-0.06327760502562446,0.010296911983679696
1808,2M19360616+3854028,2052378026807507968,2.8300061225891118,4867.49267578125,-0.0236662682145834,0.0004967935383319856,-0.20268402993679047,0.3296859860420227,10.114927291870117,10.646845817565918,9.46621799468994,8.644000053405763,8.144000053405763,8.031999588012695,0.054994624108076096,77.9448013305664,0.012174990028142927,0.03224391117691994,0.03433424979448318,0.0503937155008316,0.0004228530358685312,0.0012201984943915891,0.0013462957592280669,0.01899999938905239,0.017000000923871994,0.017999999225139618,2.228,2.8499,1.7861,0.5318999999999999,0.3479151865016913,0.10146192543308102,0.6316860000000001,0.6419511999999999,0.6212122000000001,0.010369499999999959,-0.1994987482285111,0.007131019381313594
642,2M19091708+4400122,2106036668133870848,2.7810688018798833,4613.1650390625,0.006555762141942978,0.2613884806632996,-0.017626002430915833,0.37411004304885853,10.856366157531738,11.439048767089846,10.162135124206543,9.24899959564209,8.701000213623049,8.562999725341799,0.048518691211938865,66.36899566650389,0.009903309866786005,0.024306802079081532,0.023049760609865192,0.035261064767837524,0.0002885860697088294,0.0009149442065092828,0.0005366278564788995,0.023000000044703484,0.020999999716877937,0.010999999940395357,8.304,10.5897,6.0339,2.2779000000000003,0.9192873405043828,0.12214277432492282,0.772638,0.7872849000000001,0.7577047,0.014790099999999997,-0.11202393612845646,0.00831597033005714
2476,2M19482040+5036278,2135411834961721728,2.6669723987579346,4723.1982421875,-0.006692752242088318,-0.002086551859974861,-0.15467937290668488,0.3337906002998352,9.687298774719238,10.26161289215088,9.00399112701416,8.072999954223633,7.541999816894531,7.440000057220459,0.05403214320540428,71.44981384277344,0.012201962992548944,0.029760951176285744,0.030096333473920826,0.044914208352565765,0.00020630673835175808,0.0018084231142034837,0.0012704719001888074,0.019999999552965164,0.017999999225139618,0.020999999716877937,4.0119,5.4414,2.9174,1.2619999999999998,0.6033500993260864,0.13535733683112924,0.5645414000000001,0.5761076,0.552141,0.011983300000000042,-0.2483042040804289,0.0092268034942449
845,2M19144470+4602553,2127371419965180160,2.224883556365967,4575.8447265625,0.18707354366779327,-0.3729665875434876,0.030790954828262333,0.15338994562625885,13.16268825531006,13.774869918823242,12.4309663772583,11.430999755859375,10.836000442504883,10.70699977874756,0.06809128075838089,74.86644744873047,0.01794916391372681,0.032564092427492135,0.03749063238501549,0.053444337099790566,0.00025749583043466195,0.00223387065006797,0.0012262669028983984,0.023000000044703484,0.01899999938905239,0.010999999940395357,12.3771,17.227,8.6099,4.30855,1.0926188998106463,0.15060577318166718,3.0058167,3.079696,2.9328505000000002,0.07342274999999995,0.4779624930154449,0.01060896163387337
842,2M19144314+4716570,2130814025230956288,2.995402574539185,4836.69677734375,0.2316153198480606,-0.5189369916915894,-0.03052830696105957,0.11541071534156801,11.892709732055664,12.383723258972168,11.26314640045166,10.439000129699707,9.92300033569336,9.854999542236328,0.06568898260593414,77.74039459228516,0.018256790935993198,0.04166330769658089,0.04608141258358955,0.06629402935504912,0.00016653142072331484,0.001182679503975992,0.0009992555902571534,0.023000000044703484,0.017999999225139618,0.010999999940395357,11.7729,14.6269,9.2257,2.7006,1.070883455100454,0.10007648203867392,0.8741610999999999,0.88815,0.8618665999999999,0.013141700000000015,-0.05840852343688504,0.006523134678088134
2013,2M19402287+3845318,2052145097834838400,2.639030933380127,4680.0830078125,0.009005121886730194,0.10900061577558516,-0.10124998539686204,0.3493860363960266,11.909585952758787,12.572759628295898,11.14603042602539,10.083999633789062,9.527000427246094,9.371000289916992,0.05445350706577301,73.34130859375,0.01164011936634779,0.02706972137093544,0.02847895398736,0.04206423461437225,0.00018128232204595032,0.0015543802563355855,0.0007550495256480882,0.019999999552965164,0.019999999552965164,0.017999999225139618,5.1099,6.2366,4.217,1.0098000000000005,0.7084124011380118,0.08497214468122888,1.3622558,1.3797962,1.3443117,0.017742250000000008,0.1342586656513035,0.005657483045559754
1134,2M19214745+3730572,2051087298931991936,2.885927677154541,4740.7158203125,-0.004743628203868866,0.19505810737609866,-0.06286344677209854,0.447113573551178,12.668600082397461,13.282379150390625,11.924166679382324,10.9399995803833,10.390999794006348,10.276000022888184,0.052269745618104935,74.45763397216797,0.01071945857256651,0.026862649247050285,0.02801037579774857,0.041534733027219765,0.00022042136876843085,0.0015128192352298342,0.001281011622404904,0.019999999552965164,0.020999999716877937,0.01899999938905239,3.6529,4.8404,2.9519,0.9442499999999998,0.5626377833417725,0.10738980561908568,1.5564024,1.5830115,1.5316162,0.02569765000000007,0.1921218918219856,0.007167059302379915
727,2M19112461+3848276,2099587856345178240,2.4699480533599854,4644.31982421875,0.09775950014591216,-0.05778544768691062,-0.03966357931494713,0.2704044282436371,10.942142486572266,11.641873359680176,10.16209888458252,9.0649995803833,8.515999794006348,8.317000389099121,0.05455458164215088,68.23961639404297,0.012753927148878573,0.02932286448776722,0.028977220878005024,0.04353054612874985,0.0003578889620148296,0.0010232395740372713,0.001083273424179465,0.027000000700354576,0.032999999821186066,0.017999999225139618,10.0161,13.5809,7.4989,3.0410000000000004,1.0006986518519168,0.12896549459884146,0.8616059000000001,0.8799952,0.8433152,0.01833999999999997,-0.06469133579100543,0.009245187549303459
